time,ps_waveform,ps_bpm,cam_waveform_red,cam_waveform_green,cam_bpm
2.3719,32,60,85.6861125,149.1784625,0
2.404286,35,60,85.73988125,149.21494375,0
2.433859,37,60,85.36438125,149.2882,0
2.464419,40,60,85.02413125,149.3133875,0
2.496042,41,60,84.8758125,149.3506625,0
2.526167,42,60,84.78328125,149.3961875,0
2.558482,43,60,84.746625,149.398075,0
2.58996,43,60,84.777925,149.43935,0
2.639691,43,60,84.8495375,149.4697,0
2.692678,42,60,84.82739375,149.5464625,0
2.720638,40,60,84.79869375,149.5873,0
2.747245,40,60,84.170375,149.64486875,0
2.773804,38,60,83.8258625,149.59835625,0
2.803699,36,60,83.70585625,149.4851875,0
2.834656,34,60,83.5901,149.25678125,0
2.868624,32,60,83.58589375,149.08714375,0
2.908003,30,60,84.18945,148.94980625,0
2.936092,28,60,84.39058125,148.9650125,0
2.962491,26,60,84.48933125,149.01314375,0
2.989136,25,60,84.561125,149.05943125,0
3.021165,23,60,84.6467,149.09809375,0
3.050716,22,60,84.8238625,149.18195,0
3.081451,21,60,84.99758125,149.26535,0
3.112237,20,60,85.01763125,149.338725,0
3.14318,19,60,85.0644875,149.35033125,0
3.175534,18,60,85.062575,149.317325,0
3.206252,17,60,84.459875,149.27766875,0
3.235873,17,60,84.18920625,149.24198125,0
3.266482,17,60,84.07225625,149.21535625,0
3.29733,16,60,83.9374,149.22110625,0
3.331839,16,60,83.9186,149.24535,0
3.360558,16,60,84.77380625,149.293325,0
3.390244,16,60,85.28304375,149.36075,0
3.42075,17,60,85.445825,149.38714375,0
3.451616,20,60,85.51200625,149.40413125,0
3.483884,27,60,85.57318125,149.43485625,0
3.514663,36,60,85.07061875,149.5024875,0
3.544112,46,60,84.85413125,149.53393125,0
3.575001,58,60,84.56655625,149.5603,0
3.60723,69,60,84.587175,149.60705625,0
3.63812,79,60,84.56210625,149.63303125,0
3.667619,84,60,84.1694625,149.629625,0
3.698501,87,60,84.05366875,149.64765,0
3.729146,87,60,83.85515625,149.5814,0
3.759968,85,60,83.8670125,149.43948125,0
3.795212,82,60,83.9004375,149.1407125,0
3.823181,78,61,84.30314375,148.9145625,0
3.853046,73,61,84.4928625,148.732075,0
3.883406,63,61,84.64980625,148.7061875,0
3.915577,57,61,84.7143375,148.760275,0
3.946611,51,61,84.6864125,148.81035625,0
3.976096,46,61,84.16280625,148.8222,0
4.00681,41,61,84.0224375,148.9032625,0
4.03758,37,61,83.87176875,149.00635,0
4.06838,34,61,83.8335625,149.05731875,0
4.100759,32,61,83.85405625,149.0380625,0
4.130334,31,61,84.032875,148.99386875,0
4.161001,31,61,84.1354625,148.9429,0
